iter	MultiClass
0	1.066105387
1	1.03671736
2	1.016464007
3	0.9946962668
4	0.9753003496
5	0.9566017538
6	0.9425544329
7	0.9283819778
8	0.9134613153
9	0.8985951817
10	0.8851728612
11	0.8754029197
12	0.8637770972
13	0.8535732571
14	0.8432517612
15	0.8348397669
16	0.8232324517
17	0.8147752674
18	0.8059512631
19	0.7974930329
20	0.7888419718
21	0.7798608191
22	0.7722660929
23	0.7642103059
24	0.7577082775
25	0.7503380381
26	0.7435620454
27	0.7342348444
28	0.7262815062
29	0.7186613854
30	0.7124981116
31	0.7060292745
32	0.7004606074
33	0.6937384473
34	0.6866745195
35	0.6810105948
36	0.6733237338
37	0.6675213543
38	0.6617702866
39	0.6575218047
40	0.6529082076
41	0.6471423457
42	0.6420453363
43	0.6366450334
44	0.6313349242
45	0.6271938005
46	0.6221107343
47	0.6170932605
48	0.6130559013
49	0.6085372612
50	0.6032397331
51	0.5990551234
52	0.5947519729
53	0.590940374
54	0.5868674662
55	0.5829469482
56	0.5793154688
57	0.5746184174
58	0.5712567435
59	0.5672144511
60	0.5630262983
61	0.5592502448
62	0.555991123
63	0.5526441762
64	0.5497727613
65	0.546163026
66	0.5423549237
67	0.538885261
68	0.5354387096
69	0.5326012638
70	0.5294830713
71	0.5264056428
72	0.5236243379
73	0.5207083469
74	0.5173805507
75	0.5145556841
76	0.5118570635
77	0.5095352901
78	0.507101384
79	0.5038128645
80	0.5009379961
81	0.4974572399
82	0.4951112518
83	0.4928549262
84	0.489921795
85	0.4864376429
86	0.4842191308
87	0.4813808417
88	0.4785732521
89	0.4766867433
90	0.4740620469
91	0.4718707626
92	0.4701476229
93	0.46658782
94	0.4641482787
95	0.4617200112
96	0.4589535709
97	0.4566544806
98	0.4545809394
99	0.4524365843
