iter	Passed	Remaining
0	137	13650
1	138	6801
2	141	4559
3	142	3419
4	143	2725
5	144	2262
6	145	1929
7	146	1679
8	146	1486
9	147	1330
10	148	1202
11	149	1098
12	150	1008
13	151	932
14	152	865
15	153	805
16	154	753
17	155	706
18	156	665
19	156	627
20	157	593
21	158	563
22	159	534
23	160	509
24	161	484
25	162	462
26	163	441
27	164	422
28	165	405
29	166	388
30	167	372
31	168	358
32	169	344
33	170	331
34	171	319
35	172	307
36	174	296
37	175	285
38	176	275
39	177	266
40	178	257
41	179	248
42	180	239
43	182	232
44	183	224
45	184	216
46	185	209
47	187	202
48	188	196
49	189	189
50	190	183
51	192	177
52	193	171
53	194	165
54	195	160
55	197	154
56	198	149
57	199	144
58	200	139
59	201	134
60	203	129
61	204	125
62	205	120
63	206	116
64	207	111
65	209	107
66	210	103
67	211	99
68	212	95
69	214	91
70	215	87
71	216	84
72	217	80
73	219	76
74	220	73
75	221	69
76	222	66
77	223	63
78	225	59
79	226	56
80	227	53
81	228	50
82	230	47
83	231	44
84	232	41
85	234	38
86	235	35
87	236	32
88	237	29
89	238	26
90	240	23
91	241	20
92	242	18
93	244	15
94	245	12
95	246	10
96	247	7
97	249	5
98	250	2
99	251	0
