id,age_group,gender,race_ethnicity,housing_status,has_dependents,prior_probation_violation,prior_incarceration,substance_abuse_history,mental_health_issues,gang_affiliation,aggression_history,compliance_history,motivation_to_change,stable_employment_past,positive_social_support,education_level,marital_status,employment_status,prior_convictions,juvenile_convictions,recidivism,recidivism_pred,prediction_probability,mitigations,qualifiers,mental_disorder_partially,deaf_15-17,unjust_provocation_moderate,unjust_provocation_mild,age_15-17,age_12-14,discretionary_mitigation,deaf_18-21,unjust_provocation_severe,failed_crime,femicide,tradition,premeditated_kill,relative,to_cover_another_crime,blood_feud,public_servant,monstrous,destructive,child
1,35-44,Female,Turk,Houseowner,False,False,False,False,True,False,False,True,False,True,True,Middle School,Married,Employed,1,0,0,0,100.0,"['unjust_provocation_mild', 'discretionary_mitigation']",[],False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2,25-34,Male,Other,Houseowner,True,False,False,False,False,False,False,True,True,True,False,High School,Single,Retired,1,0,0,0,100.0,['discretionary_mitigation'],['blood_feud'],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
3,35-44,Male,Turk,Houseowner,True,False,False,False,False,False,False,True,True,True,True,Primary School,Married,Student,2,0,0,0,100.0,['discretionary_mitigation'],[],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
4,35-44,Female,Turk,Houseowner,True,False,False,False,False,False,True,False,True,True,True,High School,Married,Retired,0,2,0,0,100.0,"['unjust_provocation_severe', 'discretionary_mitigation']",[],False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
5,25-34,Male,Turk,Houseowner,True,False,False,True,False,False,False,True,True,False,True,Primary School,Single,Retired,0,0,0,0,100.0,[],['blood_feud'],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
6,35-44,Female,Turk,Rent,True,False,False,False,False,False,False,True,True,True,False,Primary School,Single,Employed,1,1,0,0,100.0,['discretionary_mitigation'],['premeditated_kill'],False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
7,55-64,Female,Turk,Rent,False,False,False,False,True,False,False,True,False,False,True,Middle School,Married,Employed,0,1,0,0,100.0,"['unjust_provocation_mild', 'discretionary_mitigation']",['monstrous'],False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
8,35-44,Female,Other,Homeless,True,False,True,True,False,False,False,True,True,True,True,High School,Married,Employed,1,0,0,0,100.0,['discretionary_mitigation'],[],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
9,45-54,Male,Turk,Rent,False,True,False,False,False,False,False,True,False,True,True,High School,Married,Retired,2,0,0,0,100.0,[],['femicide'],False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
10,45-54,Male,Turk,Houseowner,True,False,False,False,False,False,False,True,False,False,True,High School,Married,Retired,2,1,0,0,100.0,"['unjust_provocation_mild', 'discretionary_mitigation']",['blood_feud'],False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
11,45-54,Male,Turk,Rent,True,False,False,False,True,False,False,True,True,True,False,Middle School,Married,Employed,1,1,0,0,100.0,['discretionary_mitigation'],['femicide'],False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
12,35-44,Female,Turk,Rent,True,False,True,True,True,False,False,True,False,True,True,Primary School,Married,Employed,1,0,0,0,100.0,['discretionary_mitigation'],['premeditated_kill'],False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
13,35-44,Female,Turk,Houseowner,True,False,True,False,True,False,False,True,True,True,False,High School,Married,Retired,3,0,0,0,100.0,['discretionary_mitigation'],['femicide'],False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
14,45-54,Male,Turk,Rent,True,False,False,False,False,False,False,True,True,True,False,Primary School,Married,Student,2,0,0,0,100.0,['discretionary_mitigation'],[],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
15,45-54,Male,Turk,Houseowner,False,False,False,False,False,False,False,True,True,True,True,Primary School,Single,Retired,3,1,0,0,100.0,['discretionary_mitigation'],[],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
16,25-34,Female,Turk,Houseowner,True,True,False,True,False,False,False,False,True,True,True,Primary School,Married,Employed,2,0,0,0,100.0,['discretionary_mitigation'],[],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
17,25-34,Female,Turk,Houseowner,True,True,False,False,False,False,False,True,True,True,True,Primary School,Married,Student,2,1,0,0,100.0,['discretionary_mitigation'],['premeditated_kill'],False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
