id,age_group,gender,race_ethnicity,housing_status,has_dependents,prior_probation_violation,prior_incarceration,substance_abuse_history,mental_health_issues,gang_affiliation,aggression_history,compliance_history,motivation_to_change,stable_employment_past,positive_social_support,education_level,marital_status,employment_status,prior_convictions,juvenile_convictions,recidivism,recidivism_pred,prediction_probability,mitigations,qualifiers,mental_disorder_partially,deaf_15-17,unjust_provocation_moderate,unjust_provocation_mild,age_15-17,age_12-14,discretionary_mitigation,deaf_18-21,unjust_provocation_severe,failed_crime,femicide,tradition,premeditated_kill,relative,to_cover_another_crime,blood_feud,public_servant,monstrous,destructive,child,sentence_type,sentence_amount,is_fixed_term
1,35-44,Female,Turk,Houseowner,False,False,False,False,True,False,False,True,False,True,True,Middle School,Married,Employed,1,0,0,0,100.0,"['unjust_provocation_mild', 'discretionary_mitigation']",[],False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Fixed Term,195,True
2,25-34,Male,Other,Houseowner,True,False,False,False,False,False,False,True,True,True,False,High School,Single,Retired,1,0,0,0,100.0,['discretionary_mitigation'],['blood_feud'],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,Life Imprisonment,0,False
3,35-44,Male,Turk,Houseowner,True,False,False,False,False,False,False,True,True,True,True,Primary School,Married,Student,2,0,0,0,100.0,['discretionary_mitigation'],[],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Life Imprisonment,0,False
4,35-44,Female,Turk,Houseowner,True,False,False,False,False,False,True,False,True,True,True,High School,Married,Retired,0,2,0,0,100.0,"['unjust_provocation_severe', 'discretionary_mitigation']",[],False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,Fixed Term,198,True
5,25-34,Male,Turk,Houseowner,True,False,False,True,False,False,False,True,True,False,True,Primary School,Single,Retired,0,0,0,0,100.0,[],['blood_feud'],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Aggravated Life Imprisonment,0,False
6,35-44,Female,Turk,Rent,True,False,False,False,False,False,False,True,True,True,False,Primary School,Single,Employed,1,1,0,0,100.0,['discretionary_mitigation'],['premeditated_kill'],False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,Life Imprisonment,0,False
7,55-64,Female,Turk,Rent,False,False,False,False,True,False,False,True,False,False,True,Middle School,Married,Employed,0,1,0,0,100.0,"['unjust_provocation_mild', 'discretionary_mitigation']",['monstrous'],False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,Fixed Term,198,True
8,35-44,Female,Other,Homeless,True,False,True,True,False,False,False,True,True,True,True,High School,Married,Employed,1,0,0,0,100.0,['discretionary_mitigation'],[],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Life Imprisonment,0,False
9,45-54,Male,Turk,Rent,False,True,False,False,False,False,False,True,False,True,True,High School,Married,Retired,2,0,0,0,100.0,[],['femicide'],False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Aggravated Life Imprisonment,0,False
10,45-54,Male,Turk,Houseowner,True,False,False,False,False,False,False,True,False,False,True,High School,Married,Retired,2,1,0,0,100.0,"['unjust_provocation_mild', 'discretionary_mitigation']",['blood_feud'],False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,Fixed Term,189,True
11,45-54,Male,Turk,Rent,True,False,False,False,True,False,False,True,True,True,False,Middle School,Married,Employed,1,1,0,0,100.0,['discretionary_mitigation'],['femicide'],False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,Life Imprisonment,0,False
12,35-44,Female,Turk,Rent,True,False,True,True,True,False,False,True,False,True,True,Primary School,Married,Employed,1,0,0,0,100.0,['discretionary_mitigation'],['premeditated_kill'],False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,Life Imprisonment,0,False
13,35-44,Female,Turk,Houseowner,True,False,True,False,True,False,False,True,True,True,False,High School,Married,Retired,3,0,0,0,100.0,['discretionary_mitigation'],['femicide'],False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,Life Imprisonment,0,False
14,45-54,Male,Turk,Rent,True,False,False,False,False,False,False,True,True,True,False,Primary School,Married,Student,2,0,0,0,100.0,['discretionary_mitigation'],[],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Life Imprisonment,0,False
15,45-54,Male,Turk,Houseowner,False,False,False,False,False,False,False,True,True,True,True,Primary School,Single,Retired,3,1,0,0,100.0,['discretionary_mitigation'],[],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Life Imprisonment,0,False
16,25-34,Female,Turk,Houseowner,True,True,False,True,False,False,False,False,True,True,True,Primary School,Married,Employed,2,0,0,0,100.0,['discretionary_mitigation'],[],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Life Imprisonment,0,False
17,25-34,Female,Turk,Houseowner,True,True,False,False,False,False,False,True,True,True,True,Primary School,Married,Student,2,1,0,0,100.0,['discretionary_mitigation'],['premeditated_kill'],False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,Life Imprisonment,0,False
18,25-34,Male,Turk,Rent,True,True,False,True,False,False,False,True,True,True,True,Middle School,Married,Employed,1,1,0,0,100.0,"['unjust_provocation_moderate', 'discretionary_mitigation']",['premeditated_kill'],False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,Fixed Term,207,True
19,45-54,Male,Turk,Rent,True,False,False,False,False,True,False,True,True,True,True,Primary School,Divorced,Employed,2,0,0,0,100.0,['discretionary_mitigation'],['relative'],False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,Life Imprisonment,0,False
20,35-44,Female,Other,Houseowner,False,False,True,False,False,False,False,True,True,False,True,Middle School,Married,Retired,0,2,0,0,100.0,['discretionary_mitigation'],['blood_feud'],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,Life Imprisonment,0,False
21,25-34,Female,Turk,Rent,True,False,False,False,False,False,False,True,True,False,True,Primary School,Single,Employed,2,1,0,0,100.0,['unjust_provocation_mild'],['child'],False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Fixed Term,225,True
22,45-54,Male,Turk,Rent,True,True,False,False,True,False,False,False,True,True,True,High School,Married,Retired,3,0,0,0,100.0,['mental_disorder_partially'],['relative'],True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Fixed Term,300,True
23,25-34,Female,Turk,Rent,True,False,False,False,False,False,False,False,False,True,False,High School,Single,Student,1,0,0,0,100.0,['discretionary_mitigation'],[],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Life Imprisonment,0,False
